table,seq,column,is_pk,is_fk,id,type,size,description,d_has_codes
other_inputs,6,ca,,,c0elTsAucL03006,REAL,,CA,
other_inputs,7,co,,,c0elTsAucL03007,REAL,,CO,
other_inputs,8,ct,,,c0elTsAucL03008,REAL,,CT,
other_inputs,9,de,,,c0elTsAucL03009,REAL,,DE,
other_inputs,10,fl,,,c0elTsAucL0300a,REAL,,FL,
other_inputs,11,ga,,,c0elTsAucL0300b,REAL,,GA,
other_inputs,12,ia,,,c0elTsAucL0300c,REAL,,IA,
other_inputs,13,idaho,,,c0elTsAucL0300d,REAL,,ID,
other_inputs,14,il,,,c0elTsAucL0300e,REAL,,IL,
other_inputs,15,in,,,c0elTsAucL0300f,REAL,,IN,
other_inputs,16,ks,,,c0elTsAucL0300g,REAL,,KS,
other_inputs,17,ky,,,c0elTsAucL0300h,REAL,,KY,
other_inputs,18,la,,,c0elTsAucL0300i,REAL,,LA,
other_inputs,19,ma,,,c0elTsAucL0300j,REAL,,MA,
other_inputs,20,md,,,c0elTsAucL0300k,REAL,,MD,
other_inputs,21,me,,,c0elTsAucL0300l,REAL,,ME,
other_inputs,22,mi,,,c0elTsAucL0300m,REAL,,MI,
other_inputs,23,mn,,,c0elTsAucL0300n,REAL,,MN,
other_inputs,24,mo,,,c0elTsAucL0300o,REAL,,MO,
other_inputs,25,ms,,,c0elTsAucL0300p,REAL,,MS,
other_inputs,26,mt,,,c0elTsAucL0300q,REAL,,MT,
other_inputs,27,nc,,,c0elTsAucL0300r,REAL,,NC,
other_inputs,28,nd,,,c0elTsAucL0300s,REAL,,ND,
other_inputs,29,ne,,,c0elTsAucL0300t,REAL,,NE,
other_inputs,30,nh,,,c0elTsAucL0300u,REAL,,NH,
other_inputs,31,nj,,,c0elTsAucL0300v,REAL,,NJ,
other_inputs,32,nm,,,c0elTsAucL0300w,REAL,,NM,
other_inputs,33,nv,,,c0elTsAucL0300x,REAL,,NV,
other_inputs,34,ny,,,c0elTsAucL0300y,REAL,,NY,
other_inputs,35,oh,,,c0elTsAucL0300z,REAL,,OH,
other_inputs,36,ok,,,c0elTsAucL0300A,REAL,,OK,
other_inputs,37,or,,,c0elTsAucL0300B,REAL,,OR,
other_inputs,38,pa,,,c0elTsAucL0300C,REAL,,PA,
other_inputs,39,ri,,,c0elTsAucL0300D,REAL,,RI,
other_inputs,40,sc,,,c0elTsAucL0300E,REAL,,SC,
other_inputs,41,sd,,,c0elTsAucL0300F,REAL,,SD,
other_inputs,42,tn,,,c0elTsAucL0300G,REAL,,TN,
other_inputs,43,tx,,,c0elTsAucL0300H,REAL,,TX,
other_inputs,44,ut,,,c0elTsAucL0300I,REAL,,UT,
other_inputs,45,va,,,c0elTsAucL0300J,REAL,,VA,
other_inputs,46,vt,,,c0elTsAucL0300K,REAL,,VT,
other_inputs,47,wa,,,c0elTsAucL0300L,REAL,,WA,
other_inputs,48,wi,,,c0elTsAucL0300M,REAL,,WI,
other_inputs,49,wv,,,c0elTsAucL0300N,REAL,,WV,
other_inputs,50,wy,,,c0elTsAucL0300O,REAL,,WY,
other_inputs,51,column49,,,c0elTsAucL0300P,VARCHAR,0,,
other_inputs,52,column50,,,c0elTsAucL0300Q,REAL,,,
other_inputs,53,column51,,,c0elTsAucL0300R,VARCHAR,0,,
other_inputs,54,column52,,,c0elTsAucL0300S,VARCHAR,0,,
other_inputs,55,column53,,,c0elTsAucL0300T,VARCHAR,0,,
other_inputs,56,column54,,,c0elTsAucL0300U,VARCHAR,0,,
other_inputs,57,column55,,,c0elTsAucL0300V,VARCHAR,0,,
other_inputs,58,column56,,,c0elTsAucL0300W,VARCHAR,0,,
other_inputs,59,column57,,,c0elTsAucL0300X,VARCHAR,0,,
other_inputs,60,column58,,,c0elTsAucL0300Y,VARCHAR,0,,
other_inputs,61,column59,,,c0elTsAucL0300Z,VARCHAR,0,,
other_inputs,62,column60,,,c0elTsAucL03010,VARCHAR,0,,
other_inputs,63,column61,,,c0elTsAucL03011,VARCHAR,0,,
other_inputs,64,column62,,,c0elTsAucL03012,VARCHAR,0,,
other_inputs,65,column63,,,c0elTsAucL03013,VARCHAR,0,,
other_inputs,66,column64,,,c0elTsAucL03014,VARCHAR,0,,
,,,,,,,,,
crop_output,1,id,1,,t0elTsAucL04,INTEGER,,Crop output,
crop_output,2,year,,,c0elTsAucL04002,INTEGER,4,Year,
crop_output,3,al,,,c0elTsAucL04003,REAL,,AL,
crop_output,4,ar,,,c0elTsAucL04004,REAL,,AR,
crop_output,5,az,,,c0elTsAucL04005,REAL,,AZ,
crop_output,6,ca,,,c0elTsAucL04006,REAL,,CA,
crop_output,7,co,,,c0elTsAucL04007,REAL,,CO,
crop_output,8,ct,,,c0elTsAucL04008,REAL,,CT,
crop_output,9,de,,,c0elTsAucL04009,REAL,,DE,
crop_output,10,fl,,,c0elTsAucL0400a,REAL,,FL,
crop_output,11,ga,,,c0elTsAucL0400b,REAL,,GA,
crop_output,12,ia,,,c0elTsAucL0400c,REAL,,IA,
crop_output,13,idaho,,,c0elTsAucL0400d,REAL,,ID,
crop_output,14,il,,,c0elTsAucL0400e,REAL,,IL,
crop_output,15,in,,,c0elTsAucL0400f,REAL,,IN,
crop_output,16,ks,,,c0elTsAucL0400g,REAL,,KS,
crop_output,17,ky,,,c0elTsAucL0400h,REAL,,KY,
crop_output,18,la,,,c0elTsAucL0400i,REAL,,LA,
crop_output,19,ma,,,c0elTsAucL0400j,REAL,,MA,
crop_output,20,md,,,c0elTsAucL0400k,REAL,,MD,
crop_output,21,me,,,c0elTsAucL0400l,REAL,,ME,
crop_output,22,mi,,,c0elTsAucL0400m,REAL,,MI,
crop_output,23,mn,,,c0elTsAucL0400n,REAL,,MN,
crop_output,24,mo,,,c0elTsAucL0400o,REAL,,MO,
crop_output,25,ms,,,c0elTsAucL0400p,REAL,,MS,
crop_output,26,mt,,,c0elTsAucL0400q,REAL,,MT,
crop_output,27,nc,,,c0elTsAucL0400r,REAL,,NC,
crop_output,28,nd,,,c0elTsAucL0400s,REAL,,ND,
crop_output,29,ne,,,c0elTsAucL0400t,REAL,,NE,
crop_output,30,nh,,,c0elTsAucL0400u,REAL,,NH,
crop_output,31,nj,,,c0elTsAucL0400v,REAL,,NJ,
crop_output,32,nm,,,c0elTsAucL0400w,REAL,,NM,
crop_output,33,nv,,,c0elTsAucL0400x,REAL,,NV,
crop_output,34,ny,,,c0elTsAucL0400y,REAL,,NY,
crop_output,35,oh,,,c0elTsAucL0400z,REAL,,OH,
crop_output,36,ok,,,c0elTsAucL0400A,REAL,,OK,
crop_output,37,or,,,c0elTsAucL0400B,REAL,,OR,
crop_output,38,pa,,,c0elTsAucL0400C,REAL,,PA,
crop_output,39,ri,,,c0elTsAucL0400D,REAL,,RI,
crop_output,40,sc,,,c0elTsAucL0400E,REAL,,SC,
crop_output,41,sd,,,c0elTsAucL0400F,REAL,,SD,
crop_output,42,tn,,,c0elTsAucL0400G,REAL,,TN,
crop_output,43,tx,,,c0elTsAucL0400H,REAL,,TX,
crop_output,44,ut,,,c0elTsAucL0400I,REAL,,UT,
crop_output,45,va,,,c0elTsAucL0400J,REAL,,VA,
crop_output,46,vt,,,c0elTsAucL0400K,REAL,,VT,
crop_output,47,wa,,,c0elTsAucL0400L,REAL,,WA,
crop_output,48,wi,,,c0elTsAucL0400M,REAL,,WI,
crop_output,49,wv,,,c0elTsAucL0400N,REAL,,WV,
crop_output,50,wy,,,c0elTsAucL0400O,REAL,,WY,
,,,,,,,,,
output_growth,1,id,1,,t0elTsAucL05,INTEGER,,States ranked by level and growth of farm output,
output_growth,2,state,,,c0elTsAucL05002,VARCHAR,160,State,
output_growth,3,rank_in_2004,,,c0elTsAucL05003,INTEGER,2,Rank in 2004,
output_growth,4,level_in_2004,,,c0elTsAucL05004,REAL,,Level in 2004,
output_growth,5,rank_in_1960,,,c0elTsAucL05005,INTEGER,2,Rank in 1960,
output_growth,6,level_in_1960,,,c0elTsAucL05006,REAL,,Level in 1960,
output_growth,7,rank,,,c0elTsAucL05007,INTEGER,2,Rank,
output_growth,8,annual_growth,,,c0elTsAucL05008,REAL,,Annual growth (%),
,,,,,,,,,
capital_input,1,id,1,,t0elTsAucL06,INTEGER,,Capital input (excluding land),
capital_input,2,year,,,c0elTsAucL06002,INTEGER,4,Year,
capital_input,3,al,,,c0elTsAucL06003,REAL,,AL,
capital_input,4,ar,,,c0elTsAucL06004,REAL,,AR,
capital_input,5,az,,,c0elTsAucL06005,REAL,,AZ,
capital_input,6,ca,,,c0elTsAucL06006,REAL,,CA,
capital_input,7,co,,,c0elTsAucL06007,REAL,,CO,
capital_input,8,ct,,,c0elTsAucL06008,REAL,,CT,
capital_input,9,de,,,c0elTsAucL06009,REAL,,DE,
capital_input,10,fl,,,c0elTsAucL0600a,REAL,,FL,
capital_input,11,ga,,,c0elTsAucL0600b,REAL,,GA,
capital_input,12,ia,,,c0elTsAucL0600c,REAL,,IA,
capital_input,13,idaho,,,c0elTsAucL0600d,REAL,,ID,
capital_input,14,il,,,c0elTsAucL0600e,REAL,,IL,
capital_input,15,in,,,c0elTsAucL0600f,REAL,,IN,
capital_input,16,ks,,,c0elTsAucL0600g,REAL,,KS,
capital_input,17,ky,,,c0elTsAucL0600h,REAL,,KY,
capital_input,18,la,,,c0elTsAucL0600i,REAL,,LA,
capital_input,19,ma,,,c0elTsAucL0600j,REAL,,MA,
capital_input,20,md,,,c0elTsAucL0600k,REAL,,MD,
capital_input,21,me,,,c0elTsAucL0600l,REAL,,ME,
capital_input,22,mi,,,c0elTsAucL0600m,REAL,,MI,
capital_input,23,mn,,,c0elTsAucL0600n,REAL,,MN,
capital_input,24,mo,,,c0elTsAucL0600o,REAL,,MO,
capital_input,25,ms,,,c0elTsAucL0600p,REAL,,MS,
capital_input,26,mt,,,c0elTsAucL0600q,REAL,,MT,
capital_input,27,nc,,,c0elTsAucL0600r,REAL,,NC,
capital_input,28,nd,,,c0elTsAucL0600s,REAL,,ND,
capital_input,29,ne,,,c0elTsAucL0600t,REAL,,NE,
capital_input,30,nh,,,c0elTsAucL0600u,REAL,,NH,
capital_input,31,nj,,,c0elTsAucL0600v,REAL,,NJ,
capital_input,32,nm,,,c0elTsAucL0600w,REAL,,NM,
capital_input,33,nv,,,c0elTsAucL0600x,REAL,,NV,
capital_input,34,ny,,,c0elTsAucL0600y,REAL,,NY,
capital_input,35,oh,,,c0elTsAucL0600z,REAL,,OH,
capital_input,36,ok,,,c0elTsAucL0600A,REAL,,OK,
capital_input,37,or,,,c0elTsAucL0600B,REAL,,OR,
capital_input,38,pa,,,c0elTsAucL0600C,REAL,,PA,
capital_input,39,ri,,,c0elTsAucL0600D,REAL,,RI,
capital_input,40,sc,,,c0elTsAucL0600E,REAL,,SC,
capital_input,41,sd,,,c0elTsAucL0600F,REAL,,SD,
capital_input,42,tn,,,c0elTsAucL0600G,REAL,,TN,
capital_input,43,tx,,,c0elTsAucL0600H,REAL,,TX,
capital_input,44,ut,,,c0elTsAucL0600I,REAL,,UT,
capital_input,45,va,,,c0elTsAucL0600J,REAL,,VA,
capital_input,46,vt,,,c0elTsAucL0600K,REAL,,VT,
capital_input,47,wa,,,c0elTsAucL0600L,REAL,,WA,
capital_input,48,wi,,,c0elTsAucL0600M,REAL,,WI,
capital_input,49,wv,,,c0elTsAucL0600N,REAL,,WV,
capital_input,50,wy,,,c0elTsAucL0600O,REAL,,WY,
,,,,,,,,,
energy_input,1,id,1,,t0elTsAucL07,INTEGER,,Energy input,
energy_input,2,year,,,c0elTsAucL07002,INTEGER,4,Year,
energy_input,3,al,,,c0elTsAucL07003,REAL,,AL,
energy_input,4,ar,,,c0elTsAucL07004,REAL,,AR,
energy_input,5,az,,,c0elTsAucL07005,REAL,,AZ,
energy_input,6,ca,,,c0elTsAucL07006,REAL,,CA,
energy_input,7,co,,,c0elTsAucL07007,REAL,,CO,
energy_input,8,ct,,,c0elTsAucL07008,REAL,,CT,
energy_input,9,de,,,c0elTsAucL07009,REAL,,DE,
energy_input,10,fl,,,c0elTsAucL0700a,REAL,,FL,
energy_input,11,ga,,,c0elTsAucL0700b,REAL,,GA,
energy_input,12,ia,,,c0elTsAucL0700c,REAL,,IA,
energy_input,13,idaho,,,c0elTsAucL0700d,REAL,,ID,
energy_input,14,il,,,c0elTsAucL0700e,REAL,,IL,
energy_input,15,in,,,c0elTsAucL0700f,REAL,,IN,
energy_input,16,ks,,,c0elTsAucL0700g,REAL,,KS,
energy_input,17,ky,,,c0elTsAucL0700h,REAL,,KY,
energy_input,18,la,,,c0elTsAucL0700i,REAL,,LA,
energy_input,19,ma,,,c0elTsAucL0700j,REAL,,MA,
energy_input,20,md,,,c0elTsAucL0700k,REAL,,MD,
energy_input,21,me,,,c0elTsAucL0700l,REAL,,ME,
energy_input,22,mi,,,c0elTsAucL0700m,REAL,,MI,
energy_input,23,mn,,,c0elTsAucL0700n,REAL,,MN,
energy_input,24,mo,,,c0elTsAucL0700o,REAL,,MO,
energy_input,25,ms,,,c0elTsAucL0700p,REAL,,MS,
energy_input,26,mt,,,c0elTsAucL0700q,REAL,,MT,
energy_input,27,nc,,,c0elTsAucL0700r,REAL,,NC,
energy_input,28,nd,,,c0elTsAucL0700s,REAL,,ND,
energy_input,29,ne,,,c0elTsAucL0700t,REAL,,NE,
energy_input,30,nh,,,c0elTsAucL0700u,REAL,,NH,
energy_input,31,nj,,,c0elTsAucL0700v,REAL,,NJ,
energy_input,32,nm,,,c0elTsAucL0700w,REAL,,NM,
energy_input,33,nv,,,c0elTsAucL0700x,REAL,,NV,
energy_input,34,ny,,,c0elTsAucL0700y,REAL,,NY,
energy_input,35,oh,,,c0elTsAucL0700z,REAL,,OH,
energy_input,36,ok,,,c0elTsAucL0700A,REAL,,OK,
energy_input,37,or,,,c0elTsAucL0700B,REAL,,OR,
energy_input,38,pa,,,c0elTsAucL0700C,REAL,,PA,
energy_input,39,ri,,,c0elTsAucL0700D,REAL,,RI,
energy_input,40,sc,,,c0elTsAucL0700E,REAL,,SC,
energy_input,41,sd,,,c0elTsAucL0700F,REAL,,SD,
energy_input,42,tn,,,c0elTsAucL0700G,REAL,,TN,
energy_input,43,tx,,,c0elTsAucL0700H,REAL,,TX,
energy_input,44,ut,,,c0elTsAucL0700I,REAL,,UT,
energy_input,45,va,,,c0elTsAucL0700J,REAL,,VA,
energy_input,46,vt,,,c0elTsAucL0700K,REAL,,VT,
energy_input,47,wa,,,c0elTsAucL0700L,REAL,,WA,
energy_input,48,wi,,,c0elTsAucL0700M,REAL,,WI,
energy_input,49,wv,,,c0elTsAucL0700N,REAL,,WV,
energy_input,50,wy,,,c0elTsAucL0700O,REAL,,WY,
energy_input,51,column49,,,c0elTsAucL0700P,VARCHAR,0,,
energy_input,52,column50,,,c0elTsAucL0700Q,VARCHAR,0,,
energy_input,53,column51,,,c0elTsAucL0700R,VARCHAR,0,,
energy_input,54,column52,,,c0elTsAucL0700S,VARCHAR,0,,
energy_input,55,column53,,,c0elTsAucL0700T,VARCHAR,0,,
energy_input,56,column54,,,c0elTsAucL0700U,VARCHAR,0,,
energy_input,57,column55,,,c0elTsAucL0700V,VARCHAR,0,,
energy_input,58,column56,,,c0elTsAucL0700W,VARCHAR,0,,
energy_input,59,column57,,,c0elTsAucL0700X,VARCHAR,0,,
energy_input,60,column58,,,c0elTsAucL0700Y,VARCHAR,0,,
energy_input,61,column59,,,c0elTsAucL0700Z,VARCHAR,0,,
energy_input,62,column60,,,c0elTsAucL07010,VARCHAR,0,,
energy_input,63,column61,,,c0elTsAucL07011,VARCHAR,0,,
energy_input,64,column62,,,c0elTsAucL07012,VARCHAR,0,,
energy_input,65,column63,,,c0elTsAucL07013,VARCHAR,0,,
energy_input,66,column64,,,c0elTsAucL07014,VARCHAR,0,,
,,,,,,,,,
statepriceindicesandq,1,id,1,,t0elTsAucL08,INTEGER,,None,
statepriceindicesandq,2,column0,,,c0elTsAucL08002,VARCHAR,37,,
statepriceindicesandq,3,column1,,,c0elTsAucL08003,VARCHAR,40,,
statepriceindicesandq,4,1960_0,,,c0elTsAucL08004,REAL,,1960.0,
statepriceindicesandq,5,1961_0,,,c0elTsAucL08005,REAL,,1961.0,
statepriceindicesandq,6,1962_0,,,c0elTsAucL08006,REAL,,1962.0,
statepriceindicesandq,7,1963_0,,,c0elTsAucL08007,REAL,,1963.0,
statepriceindicesandq,8,1964_0,,,c0elTsAucL08008,REAL,,1964.0,
statepriceindicesandq,9,1965_0,,,c0elTsAucL08009,REAL,,1965.0,
statepriceindicesandq,10,1966_0,,,c0elTsAucL0800a,REAL,,1966.0,
statepriceindicesandq,11,1967_0,,,c0elTsAucL0800b,REAL,,1967.0,
statepriceindicesandq,12,1968_0,,,c0elTsAucL0800c,REAL,,1968.0,
statepriceindicesandq,13,1969_0,,,c0elTsAucL0800d,REAL,,1969.0,
statepriceindicesandq,14,1970_0,,,c0elTsAucL0800e,REAL,,1970.0,
statepriceindicesandq,15,1971_0,,,c0elTsAucL0800f,REAL,,1971.0,
statepriceindicesandq,16,1972_0,,,c0elTsAucL0800g,REAL,,1972.0,
statepriceindicesandq,17,1973_0,,,c0elTsAucL0800h,REAL,,1973.0,
statepriceindicesandq,18,1974_0,,,c0elTsAucL0800i,REAL,,1974.0,
statepriceindicesandq,19,1975_0,,,c0elTsAucL0800j,REAL,,1975.0,
statepriceindicesandq,20,1976_0,,,c0elTsAucL0800k,REAL,,1976.0,
statepriceindicesandq,21,1977_0,,,c0elTsAucL0800l,REAL,,1977.0,
statepriceindicesandq,22,1978_0,,,c0elTsAucL0800m,REAL,,1978.0,
statepriceindicesandq,23,1979_0,,,c0elTsAucL0800n,REAL,,1979.0,
statepriceindicesandq,24,1980_0,,,c0elTsAucL0800o,REAL,,1980.0,
statepriceindicesandq,25,1981_0,,,c0elTsAucL0800p,REAL,,1981.0,
statepriceindicesandq,26,1982_0,,,c0elTsAucL0800q,REAL,,1982.0,
statepriceindicesandq,27,1983_0,,,c0elTsAucL0800r,REAL,,1983.0,
statepriceindicesandq,28,1984_0,,,c0elTsAucL0800s,REAL,,1984.0,
statepriceindicesandq,29,1985_0,,,c0elTsAucL0800t,REAL,,1985.0,
statepriceindicesandq,30,1986_0,,,c0elTsAucL0800u,REAL,,1986.0,
statepriceindicesandq,31,1987_0,,,c0elTsAucL0800v,REAL,,1987.0,
statepriceindicesandq,32,1988_0,,,c0elTsAucL0800w,REAL,,1988.0,
statepriceindicesandq,33,1989_0,,,c0elTsAucL0800x,REAL,,1989.0,
statepriceindicesandq,34,1990_0,,,c0elTsAucL0800y,REAL,,1990.0,
statepriceindicesandq,35,1991_0,,,c0elTsAucL0800z,REAL,,1991.0,
statepriceindicesandq,36,1992_0,,,c0elTsAucL0800A,REAL,,1992.0,
statepriceindicesandq,37,1993_0,,,c0elTsAucL0800B,REAL,,1993.0,
statepriceindicesandq,38,1994_0,,,c0elTsAucL0800C,REAL,,1994.0,
statepriceindicesandq,39,1995_0,,,c0elTsAucL0800D,REAL,,1995.0,
statepriceindicesandq,40,1996_0,,,c0elTsAucL0800E,REAL,,1996.0,
statepriceindicesandq,41,1997_0,,,c0elTsAucL0800F,REAL,,1997.0,
statepriceindicesandq,42,1998_0,,,c0elTsAucL0800G,REAL,,1998.0,
statepriceindicesandq,43,1999_0,,,c0elTsAucL0800H,REAL,,1999.0,
statepriceindicesandq,44,2000_0,,,c0elTsAucL0800I,REAL,,2000.0,
